"horizon","clause","rows_removed","rows_remaining","cohorts_remaining","sample_status","generated"
"t12m","all extracted results",0,278,72,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-09-23"
"t12m","report eligible",1,277,72,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-09-23"
"t12m","not a component-only fragment",22,255,72,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-09-23"
"t12m","no unresolved conflict in the source",49,206,64,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-09-23"
"t12m","no employment-related selection at recruitment",90,116,43,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-09-23"
"t12m","no employment-related analytic restriction",4,112,40,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-09-23"
"t12m","whole recruited cohort, not an allocated arm",39,73,32,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-09-23"
"t12m","trial-derived whole-cohort safeguards",8,65,30,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-09-23"
"t12m","point prevalence",18,47,23,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-09-23"
"t12m","outcome construct (paid_any)",36,11,11,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-09-23"
"t12m","eligible diagnosis group",0,11,11,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-09-23"
"t12m","at least half the sample has a qualifying diagnosis",0,11,11,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-09-23"
"t12m","horizon t12m",9,2,2,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-09-23"
"t12m","numerator and denominator both recoverable",0,2,2,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-09-23"
"t12m","non-zero denominator",0,2,2,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-09-23"
"t12m","one result per cohort",0,2,2,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-09-23"
"t24m","all extracted results",0,278,72,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-09-23"
"t24m","report eligible",1,277,72,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-09-23"
"t24m","not a component-only fragment",22,255,72,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-09-23"
"t24m","no unresolved conflict in the source",49,206,64,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-09-23"
"t24m","no employment-related selection at recruitment",90,116,43,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-09-23"
"t24m","no employment-related analytic restriction",4,112,40,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-09-23"
"t24m","whole recruited cohort, not an allocated arm",39,73,32,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-09-23"
"t24m","trial-derived whole-cohort safeguards",8,65,30,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-09-23"
"t24m","point prevalence",18,47,23,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-09-23"
"t24m","outcome construct (paid_any)",36,11,11,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-09-23"
"t24m","eligible diagnosis group",0,11,11,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-09-23"
"t24m","at least half the sample has a qualifying diagnosis",0,11,11,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-09-23"
"t24m","horizon t24m",11,0,0,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-09-23"
"t24m","numerator and denominator both recoverable",0,0,0,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-09-23"
"t24m","non-zero denominator",0,0,0,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-09-23"
"t24m","one result per cohort",0,0,0,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-09-23"
"t60m","all extracted results",0,278,72,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-09-23"
"t60m","report eligible",1,277,72,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-09-23"
"t60m","not a component-only fragment",22,255,72,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-09-23"
"t60m","no unresolved conflict in the source",49,206,64,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-09-23"
"t60m","no employment-related selection at recruitment",90,116,43,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-09-23"
"t60m","no employment-related analytic restriction",4,112,40,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-09-23"
"t60m","whole recruited cohort, not an allocated arm",39,73,32,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-09-23"
"t60m","trial-derived whole-cohort safeguards",8,65,30,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-09-23"
"t60m","point prevalence",18,47,23,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-09-23"
"t60m","outcome construct (paid_any)",36,11,11,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-09-23"
"t60m","eligible diagnosis group",0,11,11,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-09-23"
"t60m","at least half the sample has a qualifying diagnosis",0,11,11,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-09-23"
"t60m","horizon t60m",11,0,0,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-09-23"
"t60m","numerator and denominator both recoverable",0,0,0,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-09-23"
"t60m","non-zero denominator",0,0,0,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-09-23"
"t60m","one result per cohort",0,0,0,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-09-23"
"t120m","all extracted results",0,278,72,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-09-23"
"t120m","report eligible",1,277,72,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-09-23"
"t120m","not a component-only fragment",22,255,72,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-09-23"
"t120m","no unresolved conflict in the source",49,206,64,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-09-23"
"t120m","no employment-related selection at recruitment",90,116,43,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-09-23"
"t120m","no employment-related analytic restriction",4,112,40,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-09-23"
"t120m","whole recruited cohort, not an allocated arm",39,73,32,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-09-23"
"t120m","trial-derived whole-cohort safeguards",8,65,30,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-09-23"
"t120m","point prevalence",18,47,23,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-09-23"
"t120m","outcome construct (paid_any)",36,11,11,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-09-23"
"t120m","eligible diagnosis group",0,11,11,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-09-23"
"t120m","at least half the sample has a qualifying diagnosis",0,11,11,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-09-23"
"t120m","horizon t120m",8,3,3,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-09-23"
"t120m","numerator and denominator both recoverable",0,3,3,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-09-23"
"t120m","non-zero denominator",0,3,3,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-09-23"
"t120m","one result per cohort",0,3,3,"DEFINITIVE EXTRACTION IN PROGRESS - NOT FOR INFERENCE","2026-09-23"
